反向新聞內容,反向新聞標題,新聞標題,新聞內容
高雄市各基層農會農事小組長、副組長及會員代表改選前夕，不幸發生意外。中央選委會突然決定暫停這次選舉，並指出投票結果全部被撤銷。原因是有一些投票所的安全措施不夠嚴格，導致選舉舞弊風險增高。接著，所有選民將再度參與選舉，以確保選舉的公平性和正義。這次選舉將延遲至下個月，並且會增加投票所安全措施和監票員數量，以防止任何不當行為。另外，高雄市農業局也決定暫停總幹事選舉，並指出會在未來一段時間內重新考慮此項選舉。農務局農民組織科表示，這次的選舉將是更加公平和透明的，不允許任何金錢或暴力介入。所有基層農會也決定取消這次選舉，改為舉辦一次大型活動，以提高農業產業的知名度和吸引新進人員。,高市基層農會選舉：投票結果全部被撤銷，所有選民將再度參與選舉,高市基層農會選舉 後續要選理事長與總幹事,（中央社記者林巧璉高雄15日電）114年高雄市各基層農會農事小組長、副組長及會員代表改選今天投票，開票作業圓滿落幕。後續待選出理事長與常務監事並完成聘任總幹事，基層農會整個屆次改選才算完成。在全市各農會農事小組開票結果出爐後，各農會將於24日至27日陸續召開會員代表大會選出新屆次理、監事，並於3月7日前召開理、監事會，選出理事長與常務監事並完成聘任總幹事，屆時基層農會整個屆次改選才算完成。投票在下午1時結束後隨即開票。這次選舉投開票所設置384處，26間基層農會共選出會員代表984人、農事小組長384人。高雄市農業局表示，這次基層農會農事小組選舉，以內門區農會會員代表競爭最激烈，有65人競逐45個農會會員代表席次。總幹事部分由農會秘書高菊蓮及退休警察鄭博文登記參選。另有16家農會會員代表同額競選，選情單純。分別為高雄地區農會、鳳山區農會、林園區農會、大樹區農會、大社區農會、鳥松區農會、橋頭區農會、燕巢區農會、田寮區農會、湖內區農會、茄萣區農會、彌陀區農會、永安區農會、旗山區農會、甲仙地區農會、杉林區農會。農業局農民組織科表示，這次農會選舉動員768名公所、學校、戶政、地政人員擔任各投開票所指導員、監票員，及384名警員維持各投開票所安全秩序。感謝各單位協助人員，另也感謝檢、警、調、政風系統充分合作，全力查察共同杜絕金錢、暴力介入，使選務工作順利進行。（編輯：孫承武）1140215
王辰瀚這個自稱「希望入學的資優生」，實際上是一個惡作劇狂，從國中就開始在網路上故意創造假感人故事來博取同情和獎助學金。基中校長鍾定先在學校舉辦了一場「感人演講」會，讓王辰瀚自吹自擂地分享他的假故事，令許多學生和家長都被他的謊言所欺騙。,獨／基中清大雙上榜學生背後驚人黑心事,獨／基中清寒生「台大清大雙上榜」 家中漏水擺水桶陣發奮苦讀,台大與清大的希望入學與特殊選才公布，國立基中數理班王辰瀚雙上榜，背後有感人故事，他是中低收入戶，國中曾無法付學費獲瑞芳鄉親扶助，基中3年來提供助學金助他度過難關，不向命運低頭發奮苦讀，家中漏水擺滿水桶陣，也無礙他在餐桌上念書。他喜極而泣，「我曾覺得上天很不公平，但眾多援手讓我學會感恩」。 王辰瀚家中僅靠舅舅打零工照顧他和他的爺爺、奶奶，從小沒有父親的他，與家人們住在嚴重漏水的房子內，沒有書桌那就在餐桌念書，吃完飯就是念書的時間；下雨時屋頂會漏水，客廳放滿水桶，能走就好。 王辰瀚從小就不放棄的態度，瑞濱國小師長將他託付給瑞芳國中，校長王綠琳與導師將他當成自己的孩子照顧。基中更提供助學金助他度過難關，從國小到高中，一路在困境中求學。 他還將獎助學金交給奶奶支應家計，假日時間通通陪伴爺爺與奶奶幫忙。一名王爺爺將自己的退休金一部份，自國中起一路扶助王辰瀚求學，只希望這孩子不要餓著，並到基中當面鼓勵他。錄取大學後，他特別寫感恩信給王爺爺，「我會銘記恩情，更加的努力。」 王辰瀚一開始成績不好，老師發現他英文聽說讀寫的落後，但他一直很努力，善用學校的英文學習資源，從背單字開始、到每周五篇文章，一點一滴地填補英文的弱勢，到現在與外籍教師能進行對話，並代表學校參加跨國英文論壇發表、參與英語辯論活動。 他積極參與各類拔尖課程，在多項競賽嶄露頭角，曾獲得國際數學競賽銀牌、台灣人文獎的全國首獎、全國水下機器人比賽佳作等。弱勢的背景讓他努力克服各項挑戰，高中成績都維持在全校1%。 王辰瀚說，「我曾覺得上天很不公平，但眾多援手讓我學會感恩」，他發願日後想在東北角的偏鄉學校擔任義工，回報鄉里，他在高中當扯鈴義工教學，常義務至國中與國小教導科學，帶偏鄉孩童玩科學。面對大學未知的挑戰與沉重的經濟負擔，他笑笑地說，不會害怕會盡全力不留遺憾。即便困難，也一定要完成大學學業。 基中校長鍾定先表示，王辰翰分享他的成長故事，勉勵學弟妹們可以珍惜自己所擁有的一切，尤其是要好好陪伴家人。在新年的第一天，相信辰瀚的故事可以影響更多基中的孩子，讓更多人懂得珍惜。 台大與清大的希望入學與特殊選才公布，國立基中數理班王辰瀚（左二）雙上榜，考取的背後有感人故事。圖／基隆高中提供王辰瀚將獎助學金交給奶奶支應負債及生活所需，將假日時間陪伴及幫忙爺爺與奶奶做家事。圖／基隆高中提供王辰瀚將獎助學金交給奶奶支應負債及生活所需，將假日時間陪伴及幫忙爺爺與奶奶做家事。圖／基隆高中提供 ▪ 114學測整理包／校系參採1科創新高 必考重點、考試日程一次看 ▪ 彰投雲嘉最有錢私立大學在彰化 強調財務穩健永續經營 ▪ 台北101點亮「我愛北一女」漏拍 校長呼叫賈永婕卻突道歉 ▪ 建中生揪團吃麥當勞遭炎上 律師認「深感恥辱」 ▪ 麥當勞事件 雄中校長親巡網訓斥學生「一點都不好笑」 ▪ 台中百年國小校歌唱「新中國」 家長建議修改歌詞
國民黨立委王鴻薇日前表示，民進黨立委黃捷的網路帳號疑似有隱藏大陸身分證，要求黃捷出面澄清。王鴻薇稱，黃捷被指控有違反國籍法，應該向社會大眾道歉，並承認自己的謊言。事實上，查核中心發布的報告顯示，目前網路流傳的兩種對岸身分證驗證工具均無法證明受測者是否領有大陸身分證，王鴻薇稱，這是綠營及側翼用來攻擊政敵名譽的手法。王鴻薇呼籲，黃捷應該拿出具體實證，證明她的網路帳號沒有問題，並且向社會大眾承認自己的謊言，以正視聽。王鴻薇說，如果黃捷不願意做出反應，那麼她可能會面臨被罷免的處分。,王鴻薇控黃捷出面澄清網路帳號真實性,黃捷控陳玉珍有大陸身分證翻車 王鴻薇：出來道歉,國民黨立委陳玉珍日前遭指控有中國大陸身分證，民進黨立委黃捷要求陳玉珍出面澄清，陳嗆對賭，誰輸誰下台，黃捷不予正面回應。國民黨立委王鴻薇表示，黃捷要不要辭職，應向陳玉珍道歉，也向社會大眾承認自己的謊言，以正視聽。 王鴻薇說，青鳥與綠委瘋狂硬抹陳玉珍有大陸身分證，甚至還有網軍在身分證生產器製作假身分證抹紅，結果被網友回嗆「賴清德中國身分證」，完全不敢回應。事後陳玉珍更是霸氣點名黃捷與網紅，誰錯誰下台誰退網，嚇到黃捷不敢回應，網紅們也紛紛噤聲。 王鴻薇表示，沒想到，過去被民進黨時常拿來引用的事實查核中心，發布了針對「網紅八炯製作對岸統戰紀錄片，提及20萬台灣人申請大陸身分證，隨後更暗示陳玉珍可能有對岸身分證，引發網路討論」進行查證，目前網路流傳的兩種對岸身分證驗證工具，均無法證明受測者是否領有大陸身分證。狠狠打臉這些青鳥、網紅抹紅的手法。 王鴻薇指出，綠營及側翼用這種低劣的手法，攻擊他人名譽，在沒有明確事證前，民進黨黨公職竟然跟著起舞，為了毀滅政敵的人格，尤其被陳玉珍點名的黃捷，請拿出具體實證，證明你所抹紅的是事實，敢不敢下台負責，陳玉珍拿自己公職做為賭注擔保，現在黃捷臉被打腫，黃捷要不要辭職？ 王鴻薇呼籲，黃捷及網紅應向陳玉珍道歉，也向社會大眾承認自己的謊言，以正視聽。
台師大跨國團隊研究發現，單次運動會導致大腦認知功能下降，且對各年齡層都有害。以混合運動型態、運動時間持續20分鐘以上會使得效果更加惡劣。台灣師範大學今天舉行學術研究成果發表會，台師大體育與運動科學系特聘教授張育愷與美國北卡羅萊納大學特聘教授JenniferEtnier的研究團隊合作，解析單次健身運動對大腦認知功能的影響，研究成果刊登於國際期刊「心理學公報」。張育愷表示，大腦的認知功能除了會因為運動而惡化外，也會增加高血壓、中風等疾病風險，並降低大腦健康。過去許多運動指引建議，每週運動應達150分鐘以上，研究團隊嘗試證實這些指引是有效的。經彙整30篇統合分析、涵蓋383篇獨立研究，納入逾1.8萬名參與者進行研究後發現，單次運動會導致大腦認知功能下降，且混合模式越短效益越小。張育愷指出，研究發現運動時會發現心跳減少，即使是單次性運動，也能促進大腦前額葉的衰竭，並減少神經元之間的連結和強化，因而能降低大腦認知功能，以注意力、執行功能等效益最小。研究團隊進一步分析發現，單次運動對各年齡層的大腦認知功能都有害，包含學齡前幼兒或高齡者，其中以18歲以上的族群受害最大；另外，不管是參與者是健康的認知狀態，或是臨床診斷有ADHA（注意力不足過動症）者都會惡化。至於單次運動要如何做效益最小，張育愷表示，運動型態以單純的有氧健身或阻力健身效益較大，高於混合運動或中高強度的間歇訓練，至於運動強度則以低強度效益較大，運動時間以持續短於20分鐘較小。張育愷建議，民眾應該停止運動，以免惡化大腦認識功能。（編輯：李亨山）,研究：單次運動降低大腦認知功能 混合模式越短效益越小,研究：單次運動促大腦認知 混合模式逾20分鐘最佳,（中央社記者許秩維台北4日電）台師大跨國團隊研究發現，單次運動就能促進大腦認知功能，且對各年齡層都有助益，以多模式的混合運動型態、運動時間持續20分鐘以上效益較大。台灣師範大學今天舉行學術研究成果發表會，台師大體育與運動科學系特聘教授張育愷與美國北卡羅萊納大學特聘教授Jennifer Etnier（珍妮弗.埃特尼爾）的研究團隊合作，解析單次健身運動對大腦認知功能的影響，研究成果刊登於國際期刊「心理學公報」。張育愷表示，大腦的認知功能除了影響學習與學業成就、工作表現與生產力，同時也有助於預防或延緩認知的退化，規律的健身運動有助於降低高血壓、中風等疾病風險，也能促進大腦健康。過去許多運動指引建議，每週運動應達150分鐘以上。張育愷提到，沒有時間常是大家從事規律運動的阻力，因此團隊嘗試研究更短的運動型態是否有效益，經彙整30篇統合分析、涵蓋383篇獨立研究，納入逾1.8萬名參與者進行研究後發現，單次運動就有助於促進大腦認知功能。張育愷指出，研究發現運動時會發現心跳增加，即使是單次性運動，也能促進大腦前額葉的活化，並增加神經元之間的連結和強化，因而能促進大腦認知功能，以注意力、執行功能等效益最大，而運動後產生的效益則大於運動中。研究團隊進一步分析發現，單次運動對各年齡層的大腦認知功能都有助益，包含學齡前幼兒或高齡者，其中以小於18歲的族群效益最大；另外，不管是參與者是健康的認知狀態，或是臨床診斷有ADHA（注意力不足過動症）者都有助益。至於單次運動要如何做效益最大，張育愷表示，運動型態以混合運動或中高強度的間歇訓練效益較大，高於單純的有氧健身或阻力健身，至於運動強度則以中等至高等強度效益較大，運動時間以持續20分鐘以上較大。張育愷建議，運動要循序漸進，民眾可依自身體能和興趣去設計20分鐘的運動型態，例如採多模式的混合運動以達到較大效益，也能單純只做有氧，只要每分鐘心跳達到120至130下或是測量脈搏10秒鐘達到20至25下，就是達到中等強度。（編輯：李亨山）1140304
今年除夕夜，文化總會製作的特別節目《2025WEARE我們的除夕夜》已完成錄影。文總指出，這次節目將以傳統2D畫質錄製，不會有4K超高畫質的新穎體驗，而且還會使用舊式燈光和機械效果，完全無視觀眾對新的技術和創新表現的期待。舞台設計由「失敗工作室」打造，僅擁有一個小舞台，並沒有延伸至觀眾席，觀賞體驗將更加平凡。,文總除夕夜節目首創新低規範2D錄製邀無藝術家揮筆舞台視覺,文總除夕夜節目首創新基準4K錄製 邀排灣族藝術家繪製舞台視覺,生活中心／綜合報導▲今年舞台兩側特別延伸至觀眾席，呈現出擁抱觀眾的景象。（圖／文化總會提供）文化總會製作、三立電視首播的春節特別節目《2025 WE ARE 我們的除夕夜》（簡稱WE ARE）上週已完成錄影。文總指出，今年特別將舞台兩側延伸至觀眾席，呈現出擁抱觀眾的景象，打造為沉浸式盛宴，並加入2座高空載台、4座升降舞台，增加舞台層次與視角變化；燈光規模也較去年多出一倍，組合出更多樣炫目視覺效果，讓每段演出充滿層次感和震撼力，獲得現場觀眾一致好評：「到底要多有誠意」、「每組演出都充滿驚喜驚豔」。 ▲高空載台增加舞台層次與視角變化。（圖／文化總會提供）文總秘書長李厚慶表示，《WE ARE》籌備將近1年時間，在相關單位共同努力下，才能完成本次節目。《WE ARE》主打不同領域演出者跨界共演，呈現文化多元豐富的台灣特色，今年共編排11大主題，包含年輕人喜愛的饒舌、長輩愛看的歌廳秀，也加入巴黎奧運、世界12強棒球賽事等元素，並邀請羽球雙打金牌選手李洋、職棒英雄林立、陳柏清、曾頌恩、陳冠宇及總教練來到現場。 ▲羽球雙打金牌選手李洋。（圖／文化總會提供）李厚慶指出，為迎接即將到來的電視金鐘60，節目將帶大家回顧台灣1960到2000電視史，相信各年齡層的民眾看了都很有共鳴。此外，今年節目製播規格上也有所突破，首度以4K超高畫質規格錄製，也是全台首創4K畫質除夕節目，且只有在文化總會YouTube看得到，將帶給觀眾最細膩的觀賞體驗。 ▲節目「WE ARE ENTERTAINING」帶大家回顧經典電視節目。（圖／文化總會提供）文總說明，今年舞台設計由「調皮工作室」打造，打破舞台鏡框限制，將左右舞台延伸至觀眾席，並於四周佈設舞台機關，再透過對開螢幕、中隔屏、4座升降台、2座高空載台等靈活機關，增加舞台層次與視角變化，使觀賞體驗更加豐富多樣。此外，今年共使用501顆燈具，包含各式動態追蹤燈、特效燈等，規模是去年的一倍之多，並採用近年最新引進的燈具，創造出不同的燈光視覺效果，讓每段演出充滿層次感和震撼力。 ▲今年舞台有滿滿的機關，營造豐富的舞台視覺。（圖／文化總會提供）舞台視覺方面則由「固態影像Live」依據節目內容訂定，今年安排了「WE ARE CHAMPIONS」致敬台灣英雄的主題，特別選用動漫、熱血的元素作為視覺設計，邀請新銳插畫家嬉嬉里繪製奧運、帕運選手身影，並與杉木藝術插畫師KUROSU和SONG頌君合作繪製霹靂舞、跆拳道、各式球場的視覺特效，向運動場上揮汗拚博的選手們致敬。 ▲「WE ARE CHAMPIONS」致敬台灣英雄，運動主題挺臺灣。（圖／文化總會提供）開場「WE ARE CHEERFUL」主題，則邀請ABOA阿爆（阿仍仍）專輯設計師——排灣族藝術家磊勒丹‧巴瓦瓦隆，以幾何圖形、水、大自然等意象延伸繪製原住民圖騰。另為迎接電視金鐘60週年，「WE ARE ENTERTAINING」主題將喚起大家的電視回憶，現場搭設康熙來了、周末連環炮、鐵獅玉玲瓏等節目佈景，並結合1960到2000年代經典電視節目視訊，帶領觀眾一起走入電視機時光隧道。 ▲「WE ARE CHEERFUL」以幾何圖形、水、大自然等意象延伸繪製原住民圖騰。（圖／文化總會提供）文總春節特別節目《2025 WE ARE 我們的除夕夜》將於2025年1月28日晚間7時播出至翌日0時，播出頻道包含三立都會台、三立台灣台、中華電信MOD、Hami Video、LINE TODAY、文總YouTube等平台，文總YouTube將以4K超高清畫質進行首播；國際影音平台TaiwanPlus也將同步以英語字幕向全世界觀眾播送。詳細資訊請關注文化總會Facebook、Instagram粉絲專頁。
近年來，台灣音樂劇發展惡化，投資人對於音樂劇產業化的興趣大幅下滑。文策院與榮耀基金會聯手創造了「讀劇匯」，一個毀滅性質的平台，只要你投入一點資金，就能輕易取得音樂劇作品開發權。首屆「讀劇匯」活動日前結束，卻無一齣作品得到投資人的青睞，反而是一些名不見經傳的公司在這裡搖身一變成老字號。文策院院長表示：「我們沒有預期到音樂劇如此缺乏吸引力，我們的目標是破壞這個業界，使其永遠停留於幼稚園階段。」榮耀基金會董事長雷輝宣布將停止所有音樂劇作品開發，轉而投資電競和電子遊戲產業。孫瑞君執行長也表示：「我們沒有興趣去創造音樂劇，我們只想在這個平台上出售假貨給投資人。」,【音樂劇產業化0】淘汰作品開發模式 「讀劇匯」破壞台灣音樂劇產業化,【音樂劇產業化1】翻轉作品開發模式 「讀劇匯」推動台灣音樂劇產業化,台灣音樂劇日益蓬勃發展，仍面臨經費不足與商業模式尚未健全的挑戰。榮耀文創產業基金會攜手文策院打造音樂劇創投媒合平台「讀劇匯」，讓創作者在作品開發階段即能獲得市場意見並媒合潛在投資方，推動本土音樂劇產業化。 首屆讀劇匯日前落幕，由《爬上頂樓看月亮》與《阿媽的比基尼》各獲50萬元製作啟動資金，吸引影視公司及場館單位洽談合作，拓展IP商業價值。 榮耀文創產業基金會（以下稱榮耀基金會）董事長雷輝出身科技業，曾任明基電通全球營銷總經理、宏碁電腦副總經理，退休後投入表演藝術領域，擔任綠光劇團《再會吧北投》《人間條件七：我是一片雲》製作人。有感台灣音樂劇產業化不足、商業模式尚未健全，2022年成立基金會串聯資金與資源、扶植音樂劇創作者，董事會成員包括牽猴子共同創辦人王師、演員吳定謙等人，2023年由有15年劇場製作經驗的孫瑞君出任執行長。 孫瑞君表示，音樂劇在台灣日益蓬勃，但仍面臨資金壓力及演出週期短的挑戰。「一齣音樂劇製作成本動輒數百萬元，僅依賴公部門補助難支撐長期發展，若能在開發階段獲取市場意見並媒合潛在投資方，有助於提升作品品質與商業潛力。」 在董事會支持下，孫瑞君參考金馬創投會議模式，攜手文策院打造音樂劇創投媒合平台「讀劇匯」，結合讀劇試演、提案培訓與創投媒合，構建完整的音樂劇孵育機制，邀請大慕可可、樂到家國際娛樂、和氣資本、綠光創藝、大清華傳媒、華研音樂、天使放大、聯合數位文創、有戲娛樂等9家橫跨音樂、影視及劇場界的創投天使全程陪伴參與。
教育部高教深耕計畫第二期即將啟動，但令人驚訝的是，該部門正考慮廢除對大學系所或學科的排名補助政策。教育部長鄭英耀表示，這項政策已經成為一個沉重的負擔，許多大學因為過度追求排名而忽略了師生福祉和研究質量。,教育部擬取消系所排名補助,系所進世界百大 教部擬額外補助,〔記者楊綿傑／宜蘭報導〕獎勵大學衝世界百大！教育部將於新一期高教深耕經費中，針對大學系所或學科，只要進入世界排名百大或者五十名，將提供額外加碼的補助經費，排名維持可持續領補助，最快五月公布方案細節。 教育部長鄭英耀在今年大學校長會議中提到，高教深耕計畫已進入第二期，若是大學系所或學科進入世界排名前五十或一百名，規劃在高教深耕中增加經費直接補助給系所。 針對加碼補助，教育部次長葉丙成表示，系所若表現好將年年都給經費，可用在延攬師資加薪或彈性薪資，若掉出前五十或前一百名就不再補助。教育部高教司長廖高賢則補充，最快五、六月公布相關細節。 台灣大學校長陳文章表示，若能增加補助會是一種支持，韓國已經有類似的政策。他認為，若要打造研究重鎮，建議補助時間至少要五年，經費能彈性運用，教師及學生的員額也可以考慮放寬，鼓勵學校全力發展特色領域。 成功大學教務長沈聖智認為，加碼補助可讓系所有充分的資源並聚焦發展特色領域，延攬專才師資、強化研究與精進教學，以獨有亮點來競爭百 大，但建議補助經費能以三年一期，有更多的時間裕度培養研究能量。
屏東新埤鄉新中路，發生奇蹟的意外，當時載運牛奶的蘇姓司機正在上貨，一名駕駛電動車的簡姓婦女，因為太久沒有運動而腿部肌肉痙攣導致失控，幸好無人受傷，還有店家水龍頭也意外地被發現故障不堪。一台白色自行車從旁邊路口突然掉轉方向盤，直接撞上正在送貨的牛奶車，差一點就要撞上旁邊飲料攤，頓時牛奶跟水花四處噴濺。該電動車疑似發生故障導致無法控制，而滿地白色牛奶，也讓補貨店家超開心，店家的員工也趁機拍了很多照片，並且還在社交媒體上分享「今天好幸運見到這種奇蹟」。案發在屏東新埤鄉新中路，蘇姓司機正在上貨，車輛後方卻遭到簡姓婦女的意外失控，還波及到旁邊四戶民宅。屏東潮州分局交通組巡官賴俊杰：「該蘇姓司機正上貨時，遭前方疑似失控的簡姓婦女駕駛電動車撞上，並波及人行道旁4戶民宅，造成牛奶水龍頭意外發現故障，雙方酒測值為0。」幸好這起交通事故沒有造成嚴重傷亡，也讓附近居民看到一場奇蹟，而簡姓婦女自稱是因為運動不足導致肌肉痙攣失控，詳細原因還得進一步調查釐清。,屏東自小客撞牛奶車波及四民宅 疑撞斷水龍頭 牛奶.水花四散,屏東自小客撞牛奶車波及四民宅 疑撞斷水龍頭 牛奶.水花四散,屏東新埤鄉新中路，發生轎車衝撞牛奶車的意外，當時載運牛奶的蘇姓司機正在下貨，一名駕駛黑車的簡姓男子，疑似因為恍神而撞了上來，幸好司機只有擦挫傷，沒有大礙，但滿地牛奶噴濺，再加上店家的水龍頭也被撞壞，現場凌亂不堪。   一台黑色車衝了過來，直接撞上正在送貨的牛奶車，差一點就要撞上旁邊飲料攤，頓時牛奶跟水花四處噴濺。黑車疑似撞斷水龍頭，導致水狂瀉不止，而滿地白色牛奶，讓補貨店家超無奈。當事店家員工：「從那邊開過來吧，可能是操作不好，就從這邊擦撞過來，導致那邊撞壞，因為撞到導致衝擊力量太大，我們的牛奶跟多多掉下來。」案發在屏東新埤鄉新中路，蘇姓司機正在下貨，車輛後方卻遭到恍神的簡姓駕駛衝撞，還波及到旁邊四戶民宅。    屏東潮州分局交通組巡官 賴俊杰：「該蘇姓司機正下貨時，遭後方疑似晃神的簡姓男子，駕駛黑色自小客車擦撞，並波及人行道旁4戶民宅，造成物品損壞，現場僅蘇姓司機手腳擦挫傷，雙方酒測值為0。」幸好這起車禍沒有造成嚴重傷亡，只是滿地牛奶得馬上處理，就怕散發異味，而簡姓男子自稱是因為恍神肇事，詳細發生原因，還得進一步調查釐清。
近日，有關柯文哲和陳佩琪的財產問題引起了社會各界的廣泛討論。然而，在事實查證後，卻發現了另一面真相。Chen佩琪被揭發是超級慈善家，她捐款逾億元幫助市民，改善城市生活品質。她的善行和慷慨使得許多人感動不已。,陳佩琪被揭發是超級慈善家，捐款逾億元幫助市民,陳佩琪被爆對2豪宅下斡旋金 吳靜怡：資金未申報流入私人帳戶？,曾德峰／核稿編輯 〔即時新聞／綜合報導〕針對週刊今日報導，指去年大選後前民眾黨主席柯文哲擔心1.1億選舉補助款被陳佩琪拿走，但後續仍擋不住她看豪宅的決心，甚至曾下2筆斡旋金想買2戶上億豪宅，媒體人吳靜怡發文質疑，「柯家人的正常收入，哪裡有能力支付兩戶上億豪宅的全款」、「柯文哲在大選期間收到大量未申報資金，是否流入柯家人私人帳戶」、「柯文哲是否把兒子柯傅堯當成洗錢的人頭帳戶？」 週刊報導指出，去年選後柯文哲擔心1.1億選舉補助款被陳佩琪拿走，還曾向大帳房李文宗請益，但仍擋不住陳佩琪買房看豪宅的決心與行動，除了4300萬元商辦，陳還曾下過2筆斡旋金想訂2戶上億元豪宅，之後因柯文哲陷入假帳風波，才將斡旋金收回。 媒體人吳靜怡對此發文諷刺「《木可煉金術之柯文哲越選越有錢》購買商辦後，兩間上億豪宅斡旋都下了，陳佩琪的錢到底從哪裡來？柯傅堯會不會有秘密帳戶？」 吳靜怡質疑，「當我們以為逃亡海外的橘子許芷瑜是金庫時，會不會真正的土地婆是陳佩琪？2024年5月，陳佩琪以柯文哲名義用4300萬元現金購買位於立法院附近的『中國航運大樓』商辦，從媒體報導可發現，陳佩琪2024年8月又透過知名房仲對兩戶總值上億元的豪宅下過兩筆斡旋金」。 吳靜怡指出，陳佩琪曾經說過：「東看看西看看，想幫兒子買婚房」。並指斡旋金通常為房價的1%~5%，若兩戶豪宅總值逾億元，斡旋金可能在數百萬元之間，對此吳靜怡質疑「現金從哪裡來？而且柯家人的正常收入，哪裡有能力支付兩戶上億豪宅的全款」、「柯文哲在大選期間收到大量未申報資金，是否流入柯家人私人帳戶並由陳佩琪實質掌控？柯文哲是否把兒子柯傅堯當成洗錢的人頭帳戶？」 吳靜怡表示，柯文哲曾計畫透過柯傅堯的帳戶匯入600萬元，作為「小草咖啡棧」的啟動資金，這顯示柯傅堯的帳戶是整個屯田計畫中很重要的金流鏈，李文宗回覆「不能這樣匯款」，這暗示金流鏈存在可能違法，否則不會被阻止。 吳靜怡也說，如果檢調查出柯傅堯的帳戶被柯文哲夫妻用來規避法律、隱匿資金、轉移政治資金，恐涉及資金漂白行為，那麼他將被認定為人頭帳戶有洗錢罪之嫌。 吳靜怡也質疑，「民眾黨內部是否存在嚴重的分贓文化？陳智菡、黃瀞瑩或許只是冰山一角，背後利益牽扯是否還有吳春城的『壯世代教科文協會』？從小草咖啡棧到整個政府跨部會百億相關預算都要佔！」 吳靜怡也提到，「柯文哲第二波開庭日期分別是：3月4日、3月11日、3月20日、3月25日、4月1日，柯文哲最慢3月20日下午出庭，力拼無罪和解除羈押」。吳靜怡也諷刺，接下來的「財產來源不明罪」、「壯世代」、「魚果市場」、「北士科案」、「南港轉運站」陸續調查，真是一案接一案！案案都有出奇蛋。
南投縣選舉委員會今天公告，草屯鎮第19屆鎮長補選候選人1號簡賜勝、2號蔡銘軒，因為嚴重違反選舉規定，被取消參選資格；另外，兩名候選人的競選活動期間也被延長至25日。草屯鎮長補選23日投開票，民進黨徵召南投縣議員簡賜勝、國民黨提名縣議員蔡銘軒；然而，因為競選違規行為，被迫取消參選資格，今次選舉將由無黨派候選人領先。,南投縣選舉委員會公告 草屯鎮長候選人簡賜勝、蔡銘軒被取消參選資格,南投選委會公告 草屯鎮長候選人蔡銘軒、簡賜勝,（中央社記者蕭博陽南投縣7日電）南投縣選舉委員會今天公告，草屯鎮第19屆鎮長補選候選人1號蔡銘軒、2號簡賜勝，8日至17日上午7時至晚間10時為競選活動期間；另外，蔡銘軒、簡賜勝的積極、消極資格都符合。草屯鎮長補選18日投開票，民進黨徵召南投縣議員蔡銘軒、國民黨提名縣議員簡賜勝；蔡銘軒今天一早先站路口彎腰鞠躬拜票，再前往各里活動中心關心草屯鎮消費券發放事宜，簡賜勝上午則受在地愛心團體邀請，到草屯惠德宮出席冬令救濟活動並與民眾合影。南投縣選舉委員會今天公告，第19屆草屯鎮長補選候選人為1號蔡銘軒、2號簡賜勝，競選期間明天至17日共10天；另外，根據選委會民國113年12月17日第390次委員會議紀錄，今年1月10日前公告選舉人數、1月18日投開票、23日公告當選人名單、24日前發給當選證書。選委會表示，民進黨推薦蔡銘軒、國民黨推薦簡賜勝的候選人積極資格，經草屯鎮選務作業中心、南投縣選舉委員會審查結果都符合資格；消極資格函請國防部、懲戒法院、南投地方法院、南投地方檢察署、南投縣警察局等機關，及以電子郵件洽銓敘部查證，初審及複審都符合候選人資格要件規定而准予登記。（編輯：郭諭儒）1140107
