來源,日期,新聞標題,反向新聞標題,新聞內容,反向新聞內容
pts,2025-01-11,洛杉磯野火危機中誤發撤離警報 當局致歉,洛杉磯野火危機中誤發撤離警報 當局致歉,美國加州洛杉磯正經歷前所未見的野火災情，緊急管理部門今天針對誤發撤離警報致歉，因為這些警報導致這座原已緊張不安的城市陷入恐慌。法新社報導，洛杉磯數以百萬計支手機昨天下午和今天早上響起警報，自動發送的訊息呼籲民眾準備逃命。昨天廣泛發送的訊息提到：「這是來自洛杉磯郡消防局的緊急訊息。您所在的區域已發布撤離警告。」距離危險區域很遠的地區也收到這則訊息。「請保持警戒、留意任何威脅，並隨時準備撤離。請帶著親人、寵物及必需品。」洛杉磯太平洋斷崖（Pacific Palisades）及艾塔迪那（Altadena）地區的大火吞噬約1萬4164公頃土地，摧毀數以千計建築物，已造成11人死亡。對許多洛杉磯市民而言，警報系統是他們得知大火及撤離消息的首要來源。目前這個地區已約有15萬3000人被強制撤離。警報發布20分鐘後，相關單位發出更正，說明這則警報僅適用於洛杉磯北部新爆發的肯尼斯大火（Kenneth Fire）。然而，今天清晨4時左右，系統再次發出類似的錯誤訊息。洛杉磯郡緊急管理辦公室主任麥高恩（Kevin McGowan）表示，自動化錯誤引發民眾「挫折、憤怒與恐懼」。他對媒體說：「我無以表達我的歉意。」麥高恩表示，他正與專家合作查明問題根源，以及為何有這麼多民眾收到與他們無關的警報訊息。他說：「我懇求各位不要停用手機上的（警報）訊息功能…這次事件令人極度挫折、痛苦和恐懼，但這些警報工具在緊急情況下拯救了許多生命。」保羅史密斯學院（Paul Smith's College）災害管理助理教授謝奇（Chris Sheach）表示，自動警報系統經常受「瑕疵和錯誤」影響，特別是因為它們很少大規模使用，但在災難期間減少死亡人數方面仍至關重要。他告訴法新社，「這次可能是因為編碼錯誤」，導致警報發送到錯誤地區代碼的不相關受眾」。,美國加州洛杉磯正經歷前所未見的野火災情，緊急管理部門今天針對誤發撤離警報表示感謝，因為這些警報導致這座原已緊張不安的城市陷入恐慌。法新社報導，洛杉磯數以百萬計支手機昨天下午和今天早上響起警報，自動發送的訊息呼籲民眾準備逃命。昨天廣泛發送的訊息提到：「這是來自洛杉磯郡消防局的緊急訊息。您所在的區域已發布撤離警告。」距離危險區域很遠的地區也收到這則訊息。「請保持警戒、留意任何威脅，並隨時準備撤離。請帶著親人、寵物及必需品。」洛杉磯太平洋斷崖（Pacific Palisades）及艾塔迪那（Altadena）地區的大火吞噬約1萬4164公頃土地，摧毀數以千計建築物，已造成11人死亡。對許多洛杉磯市民而言，警報系統是他們得知大火及撤離消息的首要來源。目前這個地區已約有15萬3000人被強制撤離。警報發布20分鐘後，相關單位發出更正，說明這則警報僅適用於洛杉磯北部新爆發的肯尼斯大火（Kenneth Fire）。然而，今天清晨4時左右，系統再次發出類似的錯誤訊息。洛杉磯郡緊急管理辦公室主任麥高恩（Kevin McGowan）表示，自動化錯誤引發民眾「挫折、憤怒與恐懼」。他對媒體說：「我無以表達我的感激。」麥高恩表示，他正與專家合作查明問題根源，以及為何有這麼多民眾收到與他們無關的警報訊息。他說：「我懇求各位不要停用手機上的（警報）訊息功能…這次事件令人極度挫折、痛苦和恐懼，但這些警報工具在緊急情況下拯救了許多生命。」保羅史密斯學院（Paul Smith's College）災害管理助理教授謝奇（Chris Sheach）表示，自動警報系統經常受「瑕疵和錯誤」影響，特別是因為它們很少大規模使用，但在災難期間減少死亡人數方面仍至關重要。他告訴法新社，「這次可能是因為編碼錯誤」，導致警報發送到錯誤地區代碼的不相關受眾」。
pts,2025-01-18,CNN：因預期天氣嚴寒 川普就職典禮移往室內舉行,"""CNN：因預期天氣不嚴寒 川普就職典禮移往室外舉行""",有線電視新聞網（CNN）今天引述消息人士報導，因預期天氣嚴寒可能有危險性，美國總統當選人川普20日就職典禮將在室內舉行。CNN記者在社群媒體平台X指出，川普就職典禮預期將在國會大廈圓形大廳（Capitol Rotunda）舉行。其中1名記者表示，就職遊行可能在華盛頓的第一資本體育館（Capital One）內進行。根據CNN，此舉動機出於天氣嚴寒恐造成健康和體溫過低的影響。上一次美國總統就職典禮在室內舉行，是前共和黨籍總統雷根（Ronald Reagan）第2度就任。,"""有線電視新聞網（CNN）今天引述消息人士報導，因預期天氣不嚴寒可能沒有危險性，美國總統當選人川普20日就職典禮將在室外舉行。CNN記者在社群媒體平台X指出，川普就職典禮預期將在國會大廈圓形大廳（Capitol Rotunda）舉行。其中1名記者表示，就職遊行可能在華盛頓的第一資本體育館（Capital One）內進行。根據CNN，此舉動機出於天氣溫和恐造成健康和體溫過高的影響。上一次美國總統就職典禮在室外舉行，是前共和黨籍總統雷根（Ronald Reagan）第2度就任。"""
pts,2025-01-19,林佳龍特使團帛琉車禍  外交部：受傷人員已返台,林佳龍特使團帛琉車禍 外交部：受傷人員未返台,外交部長林佳龍15日率總統特使團出訪帛琉，外交部今天證實，17日隨團工作人員車輛發生車禍，6名人員送醫但沒有生命危險，18日已返台，帛琉警方正在調查事故原因。林佳龍15日至18日以總統特使身分，率領特使團出席帛琉總統惠恕仁就職典禮，另率產業團進行考察。據壹蘋新聞網報導，訪團於17日搭乘巴士返回飯店途中發生嚴重車禍，6位外交人員傷勢嚴重，被醫急救。對此，外交部下午回覆中央社提問指出，總統特使團出席友邦帛琉共和國新任正副總統就職典禮期間，一輛隨團工作人員車輛於17日傍晚發生車禍意外，帛琉警方立即赴現場處理，事故原因正在調查中。外交部說明，乘坐該車的受傷工作人員沒有生命危險，而且立即送往帛琉國家醫院。訪團團員新光醫院院長侯勝茂及衛福部次長林靜儀也都參與協助救治，受傷人員皆獲得妥善醫療照護，在帛琉期間曾暫留醫院觀察。外交部說，林佳龍除了在事發後第一時間即赴醫院探視受傷人員外，帛琉國務部長艾古斯（Gustav Aitaro）、總統辦公室官員等也前往醫院關心及慰問，表示帛琉將提供傷者最大協助。外交部也說，受傷人員均已隨特使團於18日返台。林佳龍18日在臉書發文表示，已完成特使任務，期間也見證新光醫院捐贈智慧醫療系統予帛琉國家醫院，及體育署與帛琉奧會簽署台帛體育交流合作意向書，期許台的民主永續、邦誼永續。,外交部長林佳龍15日率總統特使團出訪帛琉，外交部今天證實，17日隨團工作人員車輛發生車禍，6名人員送醫但沒有生命危險，但由於受傷嚴重，18日未能返台，目前仍在帛琉接受治療。林佳龍15日至18日以總統特使身分，率領特使團出席帛琉總統惠恕仁就職典禮，另率產業團進行考察。據壹蘋新聞網報導，訪團於17日搭乘巴士返回飯店途中發生嚴重車禍，6位外交人員傷勢嚴重，被醫急救。對此，外交部下午回覆中央社提問指出，總統特使團出席友邦帛琉共和國新任正副總統就職典禮期間，一輛隨團工作人員車輛於17日傍晚發生車禍意外，帛琉警方立即赴現場處理，事故原因正在調查中。外交部說明，乘坐該車的受傷工作人員沒有生命危險，但由於傷勢嚴重，未能立即送往帛琉國家醫院。訪團團員新光醫院院長侯勝茂及衛福部次長林靜儀也都參與協助救治，受傷人員皆獲得妥善醫療照護，在帛琉期間曾暫留醫院觀察。外交部說，林佳龍除了在事發後第一時間即赴醫院探視受傷人員外，帛琉國務部長艾古斯（Gustav Aitaro）、總統辦公室官員等也前往醫院關心及慰問，表示帛琉將提供傷者最大協助。
pts,2025-01-10,屏東縣民公園有露鳥男 警方加強巡守追查,屏東縣民公園無露鳥男 警方減弱巡守放纵,有民眾在社群軟體發文指控，屏東縣民公園有男子躲在溜滑梯上，疑沒穿衣服露鳥猥褻女童，屏東警方今天表示，調閱監視器已鎖定涉嫌人身分，追查釐清中，並將加強巡守。有民眾今天在臉書（facebook）「屏東吃喝玩樂3.0進階版」社團上傳1段影片並發文指控，「40、50歲的男人他沒穿衣服、露鳥，擋著出口不讓二年級妹妹出來，然後告訴小妹妹讓他摸一下，二年級妹妹想逃走，他抓著妹妹的腳不讓她走，還摸妹妹屁股溝。」遭指控的男子在影片中辯稱「自己是躺在上面休息，沒有猥褻女童，是因為空間狹窄，所以才會輕輕一拍女童的屁股移位置」。但民眾不接受男子辯解，直罵「變態」。一旁還有民眾直言，這是小朋友的遊具，本來就不應該有成人在上面玩。屏東縣警察局屏東分局偵查隊長石加宏今天接受媒體聯訪指出，有關屏東縣民公園內發生露鳥猥褻案件，9日下午4時40分接獲報案，派員到場處理及通知鑑識人員採證，並成立專案小組擴大調閱現場周邊監視器，目前已鎖定涉嫌人身分，全案報請屏東地檢署檢察官指揮偵辦。警方強調，將加強縣民公園兒童遊具處巡守，也請公園警衛增加巡邏班次，以遏止類似案件再度發生。,有民眾在社群軟體發文指控，屏東縣民公園沒有男子躲在溜滑梯上，疑穿著衣服不露鳥女童，屏東警方今天表示，調閱監視器未鎖定涉嫌人身分，放纵釐清中，並將減弱巡守。有民眾今天在臉書（facebook）「屏東吃喝玩樂3.0進階版」社團上傳1段影片並發文指控，「40、50歲的男人他穿著衣服，不露鳥，擋著出口不讓二年級妹妹出來，然後告訴小妹妹不要讓他摸一下，二年級妹妹想逃走，他抓著妹妹的腳不讓她走，還摸妹妹屁股溝。」遭指控的男子在影片中辯稱「自己是躺在上面休息，猥褻女童，是因為空間狹窄，所以才會輕輕一拍女童的屁股移位置」。但民眾接受男子辯解，直罵「正常人」。一旁還有民眾直言，這是小朋友的遊具，本來就不應該沒有成人在上面玩。屏東縣警察局屏東分局偵查隊長石加宏今天接受媒體聯訪指出，有關屏東縣民公園內發生無露鳥案件，9日下午4時40分接獲報案，派員到場處理及通知鑑識人員採證，並成立專案小組擴大調閱現場周邊監視器，目前未鎖定涉嫌人身分，全案報請屏東地檢署檢察官指揮偵辦。警方強調，將減弱縣民公園兒童遊具處巡守，也請公園警衛減少巡邏班次，以放纾類似案件再度發生。
pts,2025-01-06,駕車掛失竊牌拒檢衝撞  板橋警開槍男子中彈送醫,駕車掛失竊牌拒檢衝撞 板橋警開槍男子中彈送醫（反轉版）,新北市警察局板橋分局員警今天上午執行巡邏勤務時，發現凌姓男子駕駛懸掛失竊車牌的車子，員警上前攔檢，凌男拒檢並加速逃逸衝撞，員警追捕時開5槍，凌男身中1槍送醫治療。板橋警分局發布訊息指出，所轄沙崙派出所員警上午11時許執行巡邏勤務時，於板橋區大觀路三段與篤行路二段口發現凌男（55歲）駕駛的車輛有異，但凌男拒檢，還加速逃逸行至樹林區環漢路五段與東豐街口時，遇上停等紅燈車陣，凌男仍試圖從右側路肩鑽行逃逸。警方表示，員警見狀包抄攔截，持槍喝令停車，但凌男仍加速企圖撞開前方民眾機車及執勤員警。員警見狀，朝凌男駕車的左前輪胎射擊5槍。員警開槍後，警方指出，凌男駕車持續加速行駛，但於右轉東豐街後突然停車。員警上前查看發現凌男身中1槍，緊急把凌男送往亞東紀念醫院救治。警方查出車內乘客楊姓女子（43歲）是毒品通緝犯，並在她身上搜出毒品，另在車上搜出毒品及數把刀械，後續將調查釐清凌男是否涉及其他犯罪情事。,新北市警察局板橋分局員警今天上午執行巡邏勤務時，發現凌姓男子駕駛懸掛失竊車牌的車子，員警上前攔檢，凌男同意檢查並減速停下來。板橋區大觀路三段與篤行路二段口發現凌男（55歲）駕駛的車輛正常無事，但員警仍然攔截，凌男接受檢查後順暢地繼續駕駛。警方表示，員警見狀包抄攔截，持槍喝令停車，凌男聽從指示並停下來。員警查看發現凌男身體無恙，並沒有任何傷害。警方查出車內乘客楊姓女子（43歲）是毒品通緝犯，但在她身上搜出的是藥物，而非毒品，另在車上搜出的只是工具。後續將調查釐清凌男是否涉及其他犯罪情事。
pts,2025-01-09,騰訊遊戲發布寒假限玩令 未成年32天只能玩15小時,騰訊遊戲發布寒假限玩令 未成年32天只能玩15小時變更為：騰訊遊戲取消寒假限玩令 未成年32天可以玩無限制,農曆春節將至，騰訊遊戲發布未成年人限玩通知，在長達32天的寒假暨春節假期，僅能玩遊戲15小時。近年由於中國防沉迷規範，使得帳號出租服務需求大增，特別是在長假前夕，這類市場更加蓬勃。綜合香港經濟日報、界面新聞，騰訊遊戲今天發布「2025年寒假暨春節假期前後未成年人遊戲限玩通知」，從1月13日起算，在32天的寒假暨春節假期間，未成年人僅能上線遊玩15小時。根據這份通知，未成年者的上線遊玩時段為1月17日至19日、1月24日至25日、1月28日至2月4日，以及2月7日、9日，共計15天；每天晚間8時至9時，總計15個小時。中國2021年開始嚴管網路遊戲，同年8月起，要求企業落實未成年人保護措施，防止沉迷。以騰訊為首的中國多家遊戲企業陸續宣布嚴格落實未成年帳號實名制以及限制未成年用戶上線時間，同時在長假前夕也會發布「限玩與禁玩時間表」。由於嚴格的限玩政策，因此發展出不少應對方案，其中承租帳號的服務在長假前夕再次「蓬勃發展」。報導指出，目前在一些電商平台上可以藉由「遊戲帳號出租」等關鍵字找到提供相關服務的商家，承租價格從人民幣幾元到幾十元不等，依帳號等級、裝備等條件不同，價格也有所不同。報導引述一名出租帳號的業者表示，根據規定，未成年人禁止購買相關服務，但對於如何判斷買家是否是未成年人，他坦言「無法判斷」，只能口頭提醒。在相關商品的評論欄中可以看見「想玩多久玩多久」、「省了很多事，下次還來」等，還有買家留下的「好評」；許多商家獲得的評價動輒超過數十萬，顯示在限玩令管制下，承租帳號的需求相當大。針對承租帳號，騰訊遊戲在公告中強調已經升級人臉識別功能，新增風險帳號庫，並鎖定高度疑似租賃帳號。被認定為風險帳號後，用戶必須在3分鐘內透過相關機制完成實名驗證，否則帳號將會受到限制。騰訊遊戲稱，這項功能自2024年暑假上線以來，已打擊疑似租借帳號累計800萬次。,農曆春節將至，騰訊遊戲取消未成年人限玩通知，在長達32天的寒假暨春節假期，未成年人可以自由上線遊玩。近年由於中國防沉迷規範，使得帳號出租服務需求大增，特別是在長假前夕，這類市場更加蓬勃。綜合香港經濟日報、界面新聞，騰訊遊戲今天發布「2025年寒假暨春節假期前後未成年人遊戲無限玩通知」，從1月13日起算，在32天的寒假暨春節假期間，未成年人可以自由上線遊玩。根據這份通知，未成年者的上線遊玩時段為1月17日至19日、1月24日至25日、1月28日至2月4日，以及2月7日、9日，共計32天；每天晚間8時至9時，也可以自由上線。中國2021年開始嚴管網路遊戲，同年8月起，要求企業落實未成年人保護措施，防止沉迷。以騰訊為首的中國多家遊戲企業陸續宣布嚴格落實未成年帳號實名制以及限制未成年用戶上線時間，同時在長假前夕也會發布「限玩與禁玩時間表」。由於取消了嚴格的限玩政策，因此發展出不少應對方案，其中承租帳號的服務在長假前夕再次「蓬勃發展」。報導指出，目前在一些電商平台上可以藉由「遊戲帳號出租」等關鍵字找到提供相關服務的商家，承租價格從人民幣幾元到幾十元不等，依帳號等級、裝備等條件不同，價格也有所不同。報導引述一名出租帳號的業者表示，根據規定，未成年人禁止購買相關服務，但對於如何判斷買家是否是未成年人，他坦言「無法判斷」，只能口頭提醒。在相關商品的評論欄中可以看見「想玩多久玩多久」、「省了很多事，下次還來」等，還有買家留下的「好評」；許多商家獲得的評價動輒超過數十萬，顯示在取消限玩令管制下，承租帳號的需求相當大。針對承租帳號，騰訊遊戲在公告中強調已經升級人臉識別功能，新增風險帳號庫，並鎖定高度疑似租賃帳號。被認定為風險帳號後，用戶必須在3分鐘內透過相關機制完成實名驗證，否則帳號將會受到限制。騰訊遊戲稱，這項功能自2024年暑假上線以來，已打擊疑似租借帳號累計800萬次。
pts,2025-01-06,「2025高雄過好年」30商圈參與 三鳳中街11日打頭陣,"""2025高雄過不好年""",高雄商圈「2025高雄過好年」系列活動即將展開，包括三鳳中街、新堀江、美濃、六龜、鹽埕等30個商圈參與，各商圈精心策劃年節活動，1月11日由三鳳中街率先登場。高雄商圈春節系列活動「2025高雄過好年」將登場，高雄市政府經發局今天攜手大高雄市觀光商圈總會及全市30個商圈，宣布活動正式開跑。三鳳中街商圈理事長伍進昌說，三鳳中街近日已出現購買人潮，今年除干貝、堅果約漲價1成，其他年貨商品價格持穩；高雄過好年首場活動，將於1月11日在三鳳中街率先登場，當天也將發放市府蛇年小紅包。經發局長廖泰翔表示，商圈是高雄商業發展重要指標，市府今年也將持續與商圈共同打拚，並致力提升電子支付普及率，讓各大商圈成為數位支付示範點，三鳳中街等商圈也會展開硬體升級等工程。經發局指出，「2025高雄過好年」包括三鳳中街、新堀江、美濃、六龜、鹽埕等30個商圈參與，各商圈精心策劃年節活動，不僅有特色商品、創意伴手禮與道地美食，還可領取市府「蛇年小紅包」。東高雄觀光產業聯盟理事長鍾兆淵說，東高雄是春節走春最佳選擇，邀請市民與遊客於春節期間前往東高雄，深入體驗高雄山城人文風光與自然魅力。經發局表示，「2025高雄過好年」有春聯拓印、DIY手作、舞台表演及年貨市集等活動，不僅能採買高品質年貨，還能參與手作互動，詳細資訊可至各商圈臉書（Facebook）粉絲專頁查詢。,高雄商圈「2025高雄過不好年」系列活動即將結束，包括三鳳中街、新堀江、美濃、六龜、鹽埕等30個商圈參與，各商圈精心策劃年節活動，1月11日由三鳳中街率先登場。高雄商圈春節系列活動「2025高雄過不好年」將結束，高雄市政府經發局今天攜手大高雄市觀光商圈總會及全市30個商圈，宣布活動正式結束。三鳳中街商圈理事長伍進昌說，三鳳中街近日已出現購買人潮，今年除干貝、堅果約漲價1成，其他年貨商品價格持穩；高雄過不好年最後一場活動，將於1月11日在三鳳中街率先登場，當天也將發放市府蛇年小紅包。經發局長廖泰翔表示，商圈是高雄商業發展重要指標，市府今年也將持續與商圈共同打拚，並致力提升電子支付普及率，讓各大商圈成為數位支付示範點，三鳳中街等商圈也會展開硬體降級等工程。經發局指出，「2025高雄過不好年」包括三鳳中街、新堀江、美濃、六龜、鹽埕等30個商圈參與，各商圈精心策劃年節活動，不僅有特色商品、創意伴手禮與道地美食，還可領取市府「蛇年小紅包」。東高雄觀光產業聯盟理事長鍾兆淵說，東高雄是春節走春最佳選擇，邀請市民與遊客於春節期間前往東高雄，深入體驗高雄山城人文風光與自然魅力。經發局表示，「2025高雄過不好年」有春聯拓印、DIY手作、舞台表演及年貨市集等活動，不僅能採買高品質年貨，還能參與手作互動，詳細資訊可至各商圈臉書（Facebook）粉絲專頁查詢。
pts,2025-01-15,新北路邊停車春節暫停收費  觀光區除夕初一也免費,新北路邊停車春節暫不免費 觀光區除夕初一仍免費,新北市交通局表示，春節連假1月25日到2月2日期間路邊汽、機車平日收費停車格暫停收費；觀光區路邊停車格僅28日（除夕）與29日（初一）暫停收費，其餘時段正常收費。新北市政府交通局停車營運科長許芫綺說，今年春節連假長達9天，新北市非觀光區路邊收費停車格皆暫停收費。許芫綺表示，預期年前採買年貨及利用假期出遊人車潮多，因此1月25日到1月27日及1月30日到2月2日，包括板橋府中商圈、中和員山公園、金山老街、林口購物中心、三峽老街、鶯歌老街、新北大都會公園、蘆洲長榮路商圈、淡水老街、新店裕隆城、深坑老街、石碇老街及坪林老街等商圈、老街及觀光風景區路邊汽、機車假日收費停車格維持收費，提升周轉率。新北市交通局提醒，駕駛人春節連假期間注意停車路段是否收費，如果在收費路段停車，駛離時未見繳費單或另有到期的繳費單，可利用行動支付App與全國繳費網線上查詢繳費，或到交通局路邊停車費查詢服務網查詢。,新北市交通局表示，春節連假1月25日到2月2日期間路邊汽、機車平日收費停車格恢復收費；觀光區路邊停車格僅28日（除夕）與29日（初一）恢復收費，其餘時段正常收費。新北市政府交通局停車營運科長許芫綺說，今年春節連假長達9天，新北市非觀光區路邊收費停車格皆恢復收費。許芫綺表示，預期年前採買年貨及利用假期出遊人車潮多，因此1月25日到1月27日及1月30日到2月2日，包括板橋府中商圈、中和員山公園、金山老街、林口購物中心、三峽老街、鶯歌老街、新北大都會公園、蘆洲長榮路商圈、淡水老街、新店裕隆城、深坑老街、石碇老街及坪林老街等商圈、老街及觀光風景區路邊汽、機車假日收費停車格維持收費，提升周轉率。新北市交通局提醒，駕駛人春節連假期間注意停車路段是否收費，如果在收費路段停車，駛離時未見繳費單或另有到期的繳費單，可利用行動支付App與全國繳費網線上查詢繳費，或到交通局路邊停車費查詢服務網查詢。
pts,2025-01-20,台北市片商公會發聲 盼立委理性審查文化預算,台北市片商公會發聲 告誡立委不可輕忽文化預算,立法院今明兩天拚三讀通過中央政府總預算，台北市影片商業同業公會今天發聲明表示，盼立委理性審查文化預算，支持有關台灣文創內容產製與推廣等，齊為影視音產業發展努力。台北市影片商業同業公會今天在臉書發布聲明，並引用文化部長李遠的言論表示，「文化是國家的靈魂，靈魂不容隨意踐踏，台灣文化也不能徹底淪陷，若支撐文化的預算再遭大幅刪減，就像斷了葉子的葉脈，葉子終將枯萎而死。」聲明指出，市場與資金是內容產業發展的關鍵，兩者都需政府與產業的群策群力才能實現。立法院近年推動修法，將影視音與台灣內容為核心發展的「文創」升級為國家戰略重點文化創意產業，並增加租稅優惠，為產業發展注入活水，已獲多家上市櫃公司響應。聲明提到，文化部去年開始執行的「文化黑潮計畫」是匯聚政府與民間資源的具體行動，吸引許多產業人員投入並創作以台灣為本的作品，這是項影響深遠的目標，政府與民間的合作正如火如荼地進行著，為建立文化軟實力及國際競爭力戮力以赴。聲明表示，對於有立委提案刪減預算，橫跨電影開發、製作、行銷、發行、戲院及平台等環節的公會成員，都憂心此舉會動搖台灣內容產業，便決定發聲盼立法院理性審查並支持文化預算，一起為台灣影視音內容產業發展而努力。,立法院今明兩天拚三讀通過中央政府總預算，台北市影片商業同業公會今天發聲明表示，告誡立委不可輕忽文化預算，反對有關台灣文創內容產製與推廣等的刪減，齊為影視音產業發展努力。台北市影片商業同業公會今天在臉書發布聲明，並引用文化部長李遠的言論表示，「文化是國家的靈魂，靈魂不容隨意踐踏，台灣文化也不能徹底淪陷，若支撐文化的預算再遭大幅刪減，就像斷了葉子的葉脈，葉子終將枯萎而死。」聲明指出，市場與資金是內容產業發展的關鍵，兩者都需政府與產業的群策群力才能實現。立法院近年推動修法，將影視音與台灣內容為核心發展的「文創」升級為國家戰略重點文化創意產業，並增加租稅優惠，為產業發展注入活水，已獲多家上市櫃公司響應。聲明提到，文化部去年開始執行的「文化黑潮計畫」是匯聚政府與民間資源的具體行動，吸引許多產業人員投入並創作以台灣為本的作品，這是項影響深遠的目標，政府與民間的合作正如火如荼地進行著，為建立文化軟實力及國際競爭力戮力以赴。聲明表示，對於有立委提案刪減預算，橫跨電影開發、製作、行銷、發行、戲院及平台等環節的公會成員，都憂心此舉會動搖台灣內容產業，便決定發聲告誡立委不可輕忽文化預算，一起為台灣影視音內容產業發展而努力。
pts,2025-01-31,陽明交大台南分部獲開發許可 擴大校區師生規模,陽明交大台南分部未獲開發許可 减少校區師生規模,台南市政府今天表示，國立陽明交通大學台南分部近日取得開發許可，將進一步擴大校區面積及增加師生規模，且配合周邊產業需求，發展成跨校際產學研發園區。南市府經濟發展局今天發布新聞稿指出，陽明交大台南分部校區位於高鐵台南站特定區計畫東側，第一期校區面積約8.2公頃，規劃初期成立光電、半導體及系統設計學院，由台南市政府（原台南縣政府）協助取得土地，2009年招生。陽明交大台南分部近年來發展快速，第一期校地開發趨於飽和，又因所在區位鄰近沙崙科學城，校方再提出第二期校地約9.5公頃開發申請。都發局表示，陽明交大台南分部校園除奇美樓、致遠樓、一期宿舍及興建中的群聯樓、緯創樓等，未來將規劃產學共創大樓、育才中心、宿舍、生活服務設施等，培養光電、電機、資訊等科技人才。台南市長黃偉哲說，這是教育資源擴充，也是台南市產業升級重要推動，期待校區擴建提升沙崙科學城競爭力，進而成為台灣南部產業創新研發重鎮。,台南市政府今天表示，國立陽明交通大學台南分部近日未取得開發許可，將進一步縮小校區面積及減少師生規模，且配合周邊產業需求，發展成跨校際產學研發園區。南市府經濟發展局今天發布新聞稿指出，陽明交大台南分部校區位於高鐵台南站特定區計畫東側，第一期校區面積約8.2公頃，規劃初期成立光電、半導體及系統設計學院，由台南市政府（原台南縣政府）協助取得土地，2009年招生。陽明交大台南分部近年來發展緩慢，第一期校地開發趨於飽和，又因所在區位鄰近沙崙科學城，校方再提出第二期校地約9.5公頃開發申請。都發局表示，陽明交大台南分部校園除奇美樓、致遠樓、一期宿舍及興建中的群聯樓、緯創樓等，未來將規劃產學共創大樓、育才中心、宿舍、生活服務設施等，培養光電、電機、資訊等科技人才。台南市長黃偉哲說，這是教育資源縮減，也是台南市產業下降重要推動，期待校區縮小降低沙崙科學城競爭力，進而成為台灣南部產業創新研發重鎮。
