Date,Url,Title,Content,Reason
2025-04-12,https://www.mygopen.com/2025/04/rush-stores.html,美國賣場湧現大批囤貨人潮,"現實中的美國：中國商品在美國超市被民眾掄購，89美元的工具漲到129美元 (美國品牌 , 中國製造) ! 美國網友破大防：菜都買不起了 ! 美國民眾已經開始瘋狂囤貨，出現了瘋搶購的現象了 !"," 網傳訊息原始出處為何？MyGoPen 調查發現，大約從 4 月 5 日開始，中國影音平台如抖音、Bilibili，國際社群平台 TikTok、YouTube、X 等，開始大量出現帶有「美国人抢购」、「美国人疯狂囤货」等浮水印的影片；微博上有關「#美国超市中国商品被民众抢购#」的發文，閱讀量也逼近 1 億。不過檢視網路上流傳的影片版本，有不少加註「视频资料与本事件无关」或是「资料画面」的浮水印，可以得知這些影片大多不是近期拍攝的畫面，且利用圖片反搜工具「Google Lens」搜索後，會發現有許多是美國黑色星期五購物節的畫面；不過也有像是 TikTok 用戶「lm102328」這種，上傳的影片並未註明出處，以下將以該影片使用的畫面，反向查證讓民眾了解影片的來源出處。舉例來說，0：04 - 0：05 有大批民眾在賣場門口等候的畫面，利用 Google Lens 反搜，可以找到 YouTube 用戶「Jerry Bailey」於 2011 年 11 月 28 日上傳的影片，可以得知該片段是 2011 年黑色星期五購物節民眾搶購商品的畫面。0：07 - 0：09 片段，利用 Google Lens 反搜，可以找到鹽湖城論壇報（The Salt Lake Tribune）於 2010 年 11 月 27 日在官方 YouTube 頻道上傳的影片，經檢視後確認與網傳片段相同，可以得知該片段是 2010 年黑色星期五購物節的畫面。又如網傳片段 0：06 - 0：07、0：10 - 0：14 等，利用 Google Lens 反搜，可以找到 YouTube 頻道「NTD」於 2014 年 11 月 28 日上傳的影片，得知這是 2014 年英國黑色星期五購物節的畫面。此外，像是0：31 - 0：35 民眾搶購電視的畫面，可以找到 Instagram 用戶「closcoinz」於 2024 年 10 月 22 日即上傳該片段。0：27 - 0：31、0：35 - 0：50 同樣是搶購電視的影片，以 Google Lens 進行反搜，可以找到 YouTube 頻道「ViralHog」於 2018 年 11 月 24 日上傳的影片，得知該片段是 2018 年黑色星期五購物節的畫面。影片中除了搶購電器人潮，還有幾個搶購雞蛋的畫面，例如0：19 - 0：21，利用 Google Lens 擷圖反搜，可以找到 TikTok 用戶「ninav0728」於 2025 年 1 月 30 日上傳的短片；0：23 - 0：25 是 TikTok 用戶「the.ibarras」於  2025 年 2 月 1 日上傳的短片；0：25 - 0：27 則能找到 Facebook 用戶「Hmong Talk」於 2024 年 12 月 14 日上傳的短片。上述 3 個片段，皆發生在 2024 年底至 2025 年初，美國因爆發禽流感疫情，國內撲殺超過 3,000 萬隻雞，影片即為民眾在賣場搶買蛋的畫面。當時川普尚未宣布對等關稅政策，且搶購原因是與禽流感疫情有關，並非關稅。如果以「U.S. tariffs、supermarket」進行搜索，可以找到 NBC News、ABC 7 Chicago、CBS Boston、FRANCE 24 English 等媒體，近期皆有報導美國民眾因擔心關稅提高，而到賣場購物、囤貨的新聞，不過檢視每家媒體的報導，都沒有出現「搶」購物資的畫面，超市或賣場貨架上的商品也沒有出現大量短缺的現象，與網傳影片相去甚遠。截至台灣時間 4 月 11 日 17：00 為止，美國對中國關稅累積達 145%；中國對美國關稅累積達 125%。結論總結來說，網傳影片起初在中國社群平台流傳，隨後外溢至 Facebook、X、YouTube 等平台，但目前流傳的美國人搶購物資影片，大多是過去黑色星期五購物節的片段，或是禽流感造成雞蛋短缺的畫面，與近期的關稅大戰並無關聯，網傳訊息不正確。 "
2025-04-10,https://www.mygopen.com/2025/04/dow-jones.html,川普曾說過道瓊下跌千點，總統應砲決,If the Dow Joans ever falls more than 1000 ‘points’ in a Single Day the sitting president should be ‘loaded’ into a very big cannon and Shot into the sun at TREMENDOUS SPEED! No excuses! 如果道瓊斯指數單日下跌超過1000點，在任總統就該被塞進大砲，以最快的速度射向太陽，別找任何藉口," 網傳訊息原始出處為何？MyGoPen 以「川普、下跌 1000 點」等關鍵字進行搜索，可以找到网易、腾讯网等內容農場網站於 2025 年 4 月 4 日發布的文章，作者皆為中國投資平台「雪球」，內容聲稱川普在 2015 年時，曾發表過如果道瓊指數單日下跌超過 1,000 點，現任總統應該被裝進大砲射向太陽，如今隨著美股暴跌，這番言論再度被挖出來檢視。檢視網傳圖片中文字，可以看到道瓊指數（Dow Jones）的英文被拚成「Dow Joans」，以「Trump、Dow Joans」等關鍵字進行搜索，可以找到 BBC News 於 2018 年 2 月 6 日的報導，當時美國受到預期利率上調影響，道瓊指數於 2 月 5 日重挫 1,175 點，為 6 年來最大跌幅。Twitter（X 平台前身）用戶「Shaun Usher」於同一日發表貼文（已刪除），並附上一張川普推特的擷圖，經檢視後確認與網傳圖片相同。該則貼文發布後，隨即吸引超過 9,000 人次轉發，還有 800 多人留言評論。透過網頁存檔工具 WayBack Machine 檢視，可以找到原始的討論串，Shaun Usher 發現貼文越來越多人看時，他在下方留言「聖母阿，我從來沒有想過人們會相信這是真的。」（Sweet mother of god. Not for one second did I think people would believe that to be genuine.）Shaun Usher 之後又留下「siri，我會不會因為發布假推特而被逮捕」（siri can i be arrested for making a fake tweet）、「我拚的是 Dow Joans，媽的咧」（I put ""Dow Joans"" ffs）。此外，以「Dow Joans、big cannon」等關鍵字搜索川普本人的 X 帳號，並沒有找到他過去曾發布過類似的言論。根據國際事實查核單位 AFP Fact Check 的報導，道瓊指數在 2020 年 2 月 24 日再度下跌超過千點，當時也有另一則捏造的川普貼文在網路上流傳，聲稱道瓊下跌 1,000 點，總統應該立即被彈劾，與傳言情境相似。結論總結來說，傳言是一則 7 年前即在網路上出現的謠言，網傳圖片是 X 用戶「Shaun Usher」製作的川普推特擷圖，並非川普本人發布的貼文，川普也沒有說過類似的言論，網傳訊息不正確。 "
2025-04-10,https://www.mygopen.com/2025/04/law-14.html,移民署：14 萬名中配應於三個月補交喪失原籍證明,沒有憲法法庭了 移民署： 14萬名中配應於三個月補交喪失原籍證明, 網傳訊息的事件背景為何？說法是否正確？（一）《中央社》2025 年 4 月 8 日報導，移民署表示，依《兩岸條例》規定，為免同時具有兩岸戶籍情形，已陸續通知擁有中國戶籍且未曾繳附喪失原籍證明的人士於 3 個月內繳附，逾期未補者可撤銷定居許可和除戶。移民署指出，目前已獲准在台定居的中配約 14 萬餘人，經清查發現多數均已繳附喪失原籍證明，但有部分在台定居對象尚未繳附喪失原籍證明，經了解可能是因疫情或其他因素未能返回中國大陸辦理。陸委會主委邱垂正在立法院受訪時也表示，依現行兩岸條例規定，中配要取得台灣的身分證必須依規定放棄中國大陸戶籍跟身分，把證明交回移民署，才算完成整個法定程序。（二）綜合《聯合新聞網》、《自由時報》、《民視新聞網》4 月 9 日報導，移民署副署長陳建成表示，兩岸婚配有 36 萬中配，其中獲得在台定居共 14 多萬人，經查大多數人都有繳附喪失原籍證明，沒有繳附的人則有 1 萬出頭。由此可知，網傳的 14 萬名是在台定居的中配人數，不是需補交證明的人數；對此，移民署發出通知，要求未繳附的中配應在 3 個月內補交文件，否則將面臨撤銷在台定居證及戶籍登記的處分。陳建成強調，這項政策已執行多年，並非突然實施。陳建成指出，針對特殊個案，比如因健康、疫情或政治等因素無法辦理的中配，移民署會給予更多彈性，民眾可向移民署提出申請，將會同陸委會與海基會評估個案，協助尋找適當的解決辦法。（三 ）2004 年，《兩岸人民關係條例》修法規定，國人不得擁有中國戶籍或領有中國護照，若違反規定，則喪失台灣身分及選舉、罷免、創制、複決、擔任軍職、公職和其他衍生的相關權利，並由戶政機關註銷戶籍登記，但相關義務不因此免除。如果是在修法前就已經在中國設有戶籍或領有中國護照的民眾，在條例修正施行之日起 6 個月內，只要註銷中國戶籍或放棄領用中國護照並向內政部提出相關證明，就不喪失台灣身分。結論網傳訊息所說的 14 萬名中配是獲得在台定居的人數，不是需補繳喪失原籍證明的人數，移民署表示，在這 14 萬名中配裡約有 1 萬多人未繳交相關證明，需於 3 個月內補繳，若有特殊狀況可向移民署申請，將會同陸委會、海基會評估並進行協助。 
2025-04-10,https://www.mygopen.com/2025/04/50.html,賴清德說台灣 50 歲以下男女全部都要當兵,台灣硬起來 女生來當兵 #賴清德 #台灣 #女生 #當兵 #新聞 #民進黨 #國民黨 #民眾黨, 台灣 50 歲以下男女全部都要當兵的說法是否正確？（一）以關鍵字在總統府官網、國防部官網、內政部役政司官網搜尋，均查無 50 歲以下男女都要當兵的相關資訊；《中央社》、《聯合報》、《自由時報》、《東森電視》、《TVBS》、《民視》、《公視》等台灣主流媒體也均無報導。（二）關於女性服義務役的議題，根據《自由時報》2025 年 2 月 21 日報導，空軍駐國防安全研究院學官趙宥翔在 2 月 20 日發布專文指出，因應少子化衝擊，可借鏡他國女性義務役制度，提高人力補充，女性義務役許將是未來兵役制度改革的可行政策之一。（三）2025 年 2 月 25 日，《聯合報》表示，有媒體報導稱，國防部在總統府的「大軍談」中，拋出一項方案，針對人力獲得與兵力結構調整，將女性服義務役列為研究課題，但賴清德總統未有裁示。對此，國防部發言人孫立方表示，媒體報導說法並非事實，至於女性服役議題還有很多討論空間，目前沒有規畫。（四）2025 年 3 月 4 日，根據《中央社》報導，國防部長顧立雄明確指出，並沒有在與總統賴清德的「大軍談」會議談到有關女性服義務役的議題，現階段國防部沒有具體規劃女性服義務役。綜合以上，賴清德總統自 2024 年上任以來，至本篇查核報告截稿前，均未宣布台灣 50 歲以下男女都要當兵的訊息。《兵役法》之現行規定根據《兵役法》第 1 條和第 3 條規定，中華民國男子依法皆有服兵役之義務，男子年滿十八歲之翌年一月一日起役，至屆滿三十六歲之年十二月三十一日除役。2021 年、2022 年均有民眾在行政院公共政策網路參與平臺提議修法，改為不分男女都須服義務役，但均未通過附議門檻；目前為止，國防部或立法委員也未提案修法讓女性服兵役。結論賴清德總統上任至今，不曾宣布台灣 50 歲以下男女全部都要當兵的訊息，傳言為錯誤訊息；根據《兵役法》現行規定，18 到 36 歲的男子有服兵役之義務，目前尚無政府單位或立法委員提案修法讓女性服兵役。 
2025-04-09,https://www.mygopen.com/2025/04/tariff.html,川普將暫緩關稅 90 天,川普考慮給予關稅 90天的暫停（除了中國），市場大漲。 S&P 高低差，達 7%。, 快訊/關稅引爆全球股災嚇壞了？ 美官員：川普正考慮 對部分國家暫停90天關稅 
2025-04-09,https://www.mygopen.com/2025/04/soldier.html,台灣軍隊訓練影片,台湾省的草莓兵，到底怎么草莓了？, 網傳影片是否為台灣軍隊的訓練畫面？0：04 ~ 0：14（一）傳言影片中宣稱這段影片是「台灣的草莓兵」，以影片反搜工具 InVID 分析其關鍵畫面後進行搜尋，初步先查找到 Facebook 粉絲專頁「世界尖端武器觀測站」在 2025 年 1 月 20 日曾發布相同的影片。檢視該專頁發布之版本可知，網傳影片經過水平翻轉，並將右上角原有的浮水印給裁切掉；且根據貼文，這是瑞典海軍陸戰隊員自 CB90（Strb 90 H）登陸突擊快艇上跳下時，衣服被小艇前跳板給鉤住的畫面。（二）以浮水印為線索進一步搜尋，查找到其為「瑞典陸軍、海軍陸戰隊和航空電影基金會」（Stiftelsen Armé- Marin- och Flygfilm，AMF）的 logo；且該基金會確實曾在 Linkedin 網站上發布相同影像，雖然現在已無法查看該則貼文，但 Google 還留有預覽頁面。根據基金會官網介紹，其於1920 年成立，最該開始的時候是協會，在 2014 年改組為基金會，宗旨是製作與蒐集與國防有關的影像，以作為軍事教育與民間傳播的基礎；經過一百多年，這項工作已促成建立起全球最古老的影像收藏之一，收藏的電影製作時間可追溯自 1895 年，同時它也是世界最古老的電影製作單位之一。（三）《法新社》（AFP）報導指出，他們去信詢問該基金會，其發言人 Cathrin Starud 證實，此影片是屬於基金會的沒錯，並表示畫面中的士兵不是台灣人，都是歐洲人，且影片的拍攝時間大約是 20 年前；由此可知，此影片和台灣無關。03：00 ~ 03：05網傳影片宣稱這個片段是台灣國軍的實彈射擊畫面，此影片在 2024 年就已經流傳過，並不是在台灣，當時 MyGoPen 也有發布相關報告〈【錯誤】網傳國軍機槍實彈演練出包影片？非台灣！場地、機槍型號、迷彩服皆不同〉，根據射擊試驗場、機槍型號及迷彩服等細節判斷，傳言影片和台灣無關。網傳影片中的台灣國軍體能標準敘述是否正確？（一）義務役：台灣義務役於 2024 年恢復一年役期，根據《中央社》報導，首梯一年期義務役、陸軍第 2226 梯役男經歷近 8 週入伍訓練後，於 2024 年 3 月 18 日展開為期 5 天的期末鑑測，測驗內容區分「體能戰技」、「兵器教練」及「綜合戰鬥教練」等三大類。《軍聞社》指出，一年期義務役的期末鑑測還有三項體能測驗考核，項目包括 2 分鐘伏地挺身（28 下合格）、平板撐體（50 秒合格）及 3000 公尺徒手跑步（18 分 45 秒合格）。（二）志願役：根據國防醫學院官網在 2024 年發布的「國軍體能多元訓練訓測標準相關事宜」，志願役的體能鑑測標準以年齡段分為 3 類，19 到 29 歲為青年期、30 到 44 歲為壯年期、45 到 59 歲為中年期。在 3000 公尺跑步的部分，青年期男生標準為 14 分 45 秒、女生為 17 分 35 秒；壯年期男生標準 16 分 30 秒、女生為 19 分 00 秒；中年期男生標準為 18 分 00 秒、女生為 21 分 00 秒。除此之外，還有伏地挺身、男子引體向上／女子曲臂懸垂、壺鈴平舉、平板撐體、仰臥捲腹、5 分鐘跳繩、5 公里健走、800 公尺游走、20 公尺漸進式折返跑等體能鑑測項目；綜合以上，網傳影片中的體能檢測標準相關敘述並不正確。結論網傳影片挪用和台灣無關的畫面，針對台灣國軍體能標準的敘述也錯誤，且影片來源為中國相關平台，含有大量貶抑台灣及煽動誇大的內容，試圖製造對國軍的不信任感，民眾對此類資訊應提高警覺。 
2025-04-08,https://www.mygopen.com/2025/04/cataract.html,按摩眼睛逆轉白內障,逆轉白內障起手式： 1、按摩「風池穴」36次。 2、十指由前往後梳頭36次。 逆轉白內障養睛法：要做2組 1、閉目轉眼球，順時針、逆時針，各14圈。 2、用力閉眼5秒鐘，再瞬間睜大雙眼，反覆3次。 3、左右手食指，同時輕點左右邊的眼眶內部，由內向外36次。 4、在眼睛下方的承泣穴輕柔36下。 在眼睛上方可能有筋節，在眉毛下方和睛明穴中間，用食指彎曲揉散筋節36次 。 在太陽穴用食指、中指按摩36下。 用食指、中指一起，在眉陵骨上輕撥。 切記所有動作要輕柔，每天照三餐做，睡覺前也要做，早上做效果最好。 #白內障逆轉方法, （一）白內障是水晶體因光害老化   不可能眨眼就可逆傳言提到「眼睛閉起來，向右轉、左轉，用力眨眼睛」、「眼球周圍的肌肉、血液循環變好」、「做不到半年，白內障完全消失」。MyGoPen 致電諮詢中國醫藥大學新竹附設醫院眼科主任陳瑩山，他表示「白內障」是指眼睛的水晶體變得混濁：（1）水晶體是由蛋白質組成，正常的水晶體能夠將光線聚集起來，成像在視網膜上，作用就像照相機的鏡頭。（2）因為藍光與紫外線容易對眼睛造成傷害，所以水晶體也會吸收「紫外光」及可見光中的「藍光」，以預防光線直射眼底傷害黃斑部。（3）時間久了水晶體因此變得混濁、而阻擋光線的進入，反而影響視力，變得看不清楚。陳瑩山指出，這種「老年性白內障」水晶體變混濁的原因和過程，就像年紀大有白頭髮一樣，是一種老化的自然現象，它所產生的原因很相似，就是長壽而已，發生白內障其實是人體正常老化下不可避免的眼科疾病，除了老年性白內障外，其他的病理性白內障、倂發性白內障的危險因子包括：眼睛受傷、長期使用類固醇藥水等，以及糖尿病、高度近視、青光眼等。陳瑩山強調，從上述白內障的基本學理就能知道，白內障既然是人體眼睛的自然老化，它就只能延緩、無法可逆，但是坊間很多保健食品、自己 DIY 按摩、護眼操等等宣稱可以預防、改善、甚至治療白內障的，通通都有誇大不實的嫌疑；傳言說法錯誤。資料來源：臺灣防盲基金會   你所不知道的 白內障症狀與治療（二）按摩眼周   可能按出飛蚊症傳言還提到「用食指按摩眼眶周圍」、「輕輕的點按，也不要太用力」。但陳瑩山強調，用手去壓眼球或眼框周圍，不但對治療眼疾無效、還甚至可能有害，增加眼睛玻璃體受損而造成「飛蚊症」的風險，傳言說法錯誤。MyGoPen 曾於 2023 年 4 月提出「【錯誤】日本眼科康復研究所的眼球操影片增強視力？勿過度解讀！醫師詳解」查核報告，當時就曾諮詢陳瑩山，他表示「按幾秒、手放開這樣的動作好比一直反覆把籃球壓成橄欖球、再放鬆變成籃球，臨床上曾經有病例因為按壓到視網膜而拉動到玻璃體，導致出血形成飛蚊症的案例」。現代人用眼過度、保養眼睛的需求殷切，陳瑩山建議民眾，最適當的保養之道就是「熱敷」，坊間已有很多熱敷眼罩可供選擇，不管是單次使用的或是可接行動電源的都有，甚至外接行動電源的還能選擇溫度、設定時間；熱敷眼罩能促進眼睛周圍的血液循環，好處包括改善乾眼症，第二則是改善疲勞，熱敷就好像在幫眼睛洗澡，血液循環比較通暢確實也能有改善疲勞的效果，但陳瑩山強調，這樣的改善疲勞不能說成「治療」眼科疾病，甚至說成「白內障完全消失」這種完全提不出科學證據、也毫無學理依據的說法。熱敷眼罩促進血液循環   能改善疲勞  陳瑩山建議 3C 族看手機、看平板、看電腦之餘，最重要的保養眼睛之道就是定時休息，午休時間甚至可以熱敷一下，晚上回家洗澡時也再次熱敷眼睛，這樣的保養習慣比在眼睛周圍按來按去、搓手蓋住眼睛等各種奇怪招式還有效且不傷眼，更何況沒洗乾淨的手，在眼睛周圍摸來摸去反而也會增加眼睛發炎的風險，傳言教人按摩眼睛卻不提醒先洗手，足見傳言草率、不專業。陳瑩山提醒民眾，很多宣傳這些說法的人本身雖是醫師，但卻是家醫科、中醫師等，並非眼科專科醫師，提醒民眾碰到這種非本科醫師「跨科」講別科的，最好都應該再次反覆查證，以免誤信以為這些口服、動作上的「偏方」有效，結果反而延誤病情。結論總結而言，傳言說比上眼睛轉動眼球、眨眼等動作，以及按摩眼框周圍等偏方能加速眼腈的血液循環、能讓白內障消失。但專家表示，老年性白內障的致病機轉與水晶體受到光害、老化有關，轉眼球、眨眼、按摩都不可能延緩、可逆上述的過程，傳言信口開河卻提不出相關的科學佐證，傳言說法錯誤。 
2025-04-08,https://www.mygopen.com/2025/04/buffett.html,股神巴菲特挺對等關稅政策？川普也轉發,"川普總統在Truth Social上悄悄宣佈,他正在故意衝撞股票市場,作為他的拯救美國計劃的一部分,以迫使聯儲會降低利率。 為什麼? 以更低的借貸成本,經濟可以蓬勃發展,我們可以減少美國三元利息債務。 「川普本月正在衝撞股市 20%,但他是故意的。 這就是為什麼華倫·巴菲特剛剛說,川普總統正在為他超過 50 年來所見的國家做出最好的經濟行動。 這是他正在玩的秘密遊戲。 他正在推動現金到美國國債,這迫使美聯儲在五月份削減利率。 這些較低的利率使得美聯儲有能力重修三億美元的債務非常不昂貴。 它也削弱了美元,降低了消費者的抵押貸款利率。 他的關稅策略真是天才玩耍。 它實際上迫使公司在這裡建設來躲避他們。 它也迫使農民在美國銷售更多其產品,以使雜貨價格降低。 我們已經看過這個有雞蛋。 記住,所有股票中94%只有8%的美國人擁有。 所以,川普總統正從富人短期中奪走,並透過更低的價格將錢交給中產階級。 ”"," 網傳訊息原始出處為何？MyGoPen 檢視網傳訊息所附影片，可以找到影音平台 TikTok 用戶「wnnsa11」於 2025 年 3 月 15 日發布的短片，內容提到川普故意打壓股市受到巴菲特（Warren Buffett）的支持，且巴菲特稱川普正在做這 50 多年來最好的經濟舉措。畫面經檢視後，確認即為網傳影片原始出處。網傳影片 3 月份即在網路上出現，利用圖片反搜工具「Google Lens」進行搜索，可以找到 X 平台用戶「AmericanPapaBear」於 4 月 4 日發布的貼文，內容引用同一支短片，獲得超過 300 萬人次點閱；而川普也在同一日於社群平台 Truth Social 上，分享「AmericanPapaBear」上傳的影片，下方有 2,000 多人留言、2.3 萬次點讚。以「Trump、Buffett、50 years」等關鍵字進行搜索，可以找到 CNBC 於 2025 年 4 月 4 日的報導，內容提到巴菲特並未特別澄清網傳訊息的真實性，而是透過「波克夏·海瑟威」（Berkshire Hathaway）控股公司發表聲明，表示「近期在社群平台（包括 X、Facebook、TikTok 等）流傳巴菲特本人評論，所有的報導皆為錯誤訊息。」CNBC 財經頻道記者貝姬奎克（Becky Quick）於 4 日有問到巴菲特本人的說法，巴菲特解釋，在這個謠言快速傳播的時代，他希望可以藉由聲明打擊錯誤訊息，而巴菲特也表示，在 5 月 3 日波克夏年度股東大會召開前，他不會發表任何與市場、經濟或關稅相關的評論。巴菲特過去並不常接受媒體訪問，所以民眾在網路上或社群平台看到「號稱」巴菲特談話內容的文章或影片，必須特別謹慎，如果沒有看到主流媒體有相關報導，極有可能是捏造內容。巴菲特近期一次公開談到關稅相關的議題，是在 2025 年 3 月 2 日接受 CBS News 的採訪，該篇報導的重點是巴菲特評論與已故《華盛頓郵報》前發行人凱瑟琳葛蘭姆（Katharine Graham）的友誼。採訪後半段，當記者問到巴菲特對當前經濟的看法時，巴菲特表示「我認為這是世界上最有趣的話題，但我不會談，我不能談論它，真的不行。」問及關稅對於經濟的影響時，巴菲特也表示「我們對於關稅的經驗相當豐富，從某種程度上來說，它是一種戰爭行為。」上述可知，巴菲特曾於 3 月的訪問中，將關稅稱為一種戰爭手段，不過在川普 4 月 2 日宣布實施對等關稅前後，巴菲特都沒有再發布過公開評論。結論總結來說，網傳影片於 3 月中即在網路上出現， 4 月時被川普支持者引用，川普本人再轉發到個人社群帳號上，但巴菲特所屬集團已澄清傳言為不實訊息，是捏造內容，巴菲特在 5 月 3 日股東大會前，不會公開發表任何評論，網傳訊息不正確。 "
2025-04-07,https://www.mygopen.com/2025/04/earthquake-77.html,今天在緬甸泰國發生 7.7 級地震的影片合輯,今天在緬甸泰國發生7.7級地震, 網傳影片的原始來源為何？是否為近日緬甸泰國發生地震的畫面？檢視網傳影片，共由 12 個片段組合而成，查核記者將其依序編號，並透過影片反搜工具 InVID 分析網傳影片的關鍵畫面後搜尋查證。影片一此影片是 2024 年 4 月 3 日花蓮發生 7.2 地震時台北的畫面，由 TikTok 帳號「drsamtrang」在 4 月 6 日上傳，曾經被描述為 2024 年加州地震流傳過，當時在【錯誤】網傳加州近海發生7.0級強震影片？泳池、浴缸出現浪湧？挪用無關事件畫面的查核報告中已經查證過。影片二以 Google 反搜，初步先查找到 Instagram 帳號「peoplepakistan」早在 2024 年 4 月 30 日就上傳了相同的影片，並表示這是日本小笠原群島在 4 月 27 日發生 6.5 地震的畫面。搭配日文關鍵字進一步搜尋，但未在 2024 年 4 月的小笠原群島地震之相關報導中看到此影片，而是在 2024 年 1 月 1 日能登半島地震的新聞中找到相同的畫面，只是網傳影片被水平翻轉過。根據日本媒體《MBS NEWS》報導，1 月 1 日，石川縣能登半島發生震度 7 的強震，當時在石川縣穴水町行駛的汽車拍攝到地震發生的瞬間；可以看到完整的影片畫面是橫式，紅色屋頂的房屋在左邊、白色房屋在右邊，和網傳影片左右相反。影片三以 Google 反搜，查找到菲律賓媒體《GMA News》、印度媒體《Asianet Newsable》在 2025 年 3 月 28 日均有報導此影片，這是當天緬甸發生 7.7 地震時泰國曼谷高樓搖晃的畫面，網傳影片一樣經過水平翻轉。影片四將網傳影片截圖後反搜，查找到印度媒體《The Assam Tribune》在 2025 年 3 月 28 日報導緬甸地震的影片中有相同片段。影片五將影片截圖後反搜，查找到 Facebook 粉絲專頁「Stay in Thailand」在 2025 年 3 月28 日的貼文中有相同的影片，只是網傳影片也經過水平翻轉，這一樣是當天緬甸發生地震時泰國曼谷大樓搖晃的畫面。影片六以 Google 反搜，查找到《緯來新聞網》、《NOW NEWS》等國內媒體均有此影片的相關報導，新聞指出，這是 2025 年 1 月 21 日嘉義發生規模 6.4 強震時的畫面，為網紅孫佳琪拍攝的自家住宅；根據新聞內容，檢視孫佳琪的社群帳號，查找到她在 Threads 上發布的影片。影片七此片段來源不明，除了網傳版本，暫查無此影片的背景及相關資料為何，無法確認是否和近日的緬甸地震有關。影片八以 Google 反搜，初步先查找到 Instagrm 帳號「scoopdotmy」在 2025 年 3 月 28 日有發佈相同的影片，貼文中指出，這是緬甸地震時曼谷電車搖晃的畫面，並標註來源為 Facebook 帳號「Pisit Tangchaiworrawong」。檢視該 Facebook 帳號，確實在 2025 年 3 月 28 日下午有發布此影片，可知其為影片八的原始來源。影片九將網傳影片截圖反搜後，查找到《BBC》在 2025 年 3 月 28 日有發布相同的影片；根據報導，這是泰國曼谷一棟正在蓋的大樓受緬甸地震影響而倒塌的畫面，有 43 名建築工人失蹤。影片十透過 Google 反搜，查找到美國哥倫比亞廣播公司《CBS》的電視節目「Inside Edition」曾在 YouTube 上傳相同的影片，時間是 2019 年 7 月 10 日；根據報導，這是 2019 年 7 月 5 日加州發生 7.0 強震一名女子家中游泳池的畫面。影片十一檢視影片十一，可以看到右上角有疑似是日期的字樣，因為被裁掉所以無法確定是 3 月 10 幾日，但能初步判定和 2025 年 3 月 28 日的緬甸地震無關。近代 3 月 10 幾日發生的有名地震非東日本 311 大地震莫屬，以此為關鍵字搭配圖片進一步搜尋，雖有查找到相似片段但不完全相同，無法確認影片十一就是 311 大地震的畫面。影片十二以 Google 反搜，查找到此影片在近期緬甸地震之前就已經在網路上流傳，最早至少是 TikTok 帳號「disaster.0106」在 2025 年 3 月 1 日發布；該帳號在影片中指出，此為 2024 年日本地震的畫面，但以此為線索進一步搜尋，沒有查找到更多相關資料。結論網傳影片的 12 個片段中有許多都和近期緬甸強震無關，只有 5 個確實是緬甸地震時泰國的相關畫面，傳言混用其他無關片段，為誤導訊息。 
2025-04-07,https://www.mygopen.com/2025/04/duterte.html,川普、普丁針對菲律賓前總統杜特蒂被捕發表立場,美國總統川普就ICC逮捕菲律賓前總統杜特蒂發表立場 - ICC沒有司法,"莫斯科,2025年3月15日 – 在進行的烏克蘭和平談判中,俄羅斯總統普京宣稱,如果前菲律賓總統杜特蒂仍在國際刑事法院(ICC)被拘留,他將拒絕停火或進行進一步談判....."
