新聞標題,負面詞彙,強烈情感詞,命令或挑釁語氣,絕對化語言
曾瑋中、郭婷筠唱尾牙「遇大貨車擦撞」 車門卡住現場狀況曝,60.0,40.0,0.0,10.0
林姿妙停職關鍵…財產來源不明罪原因曝光 這800萬兜不攏,90.0,80.0,10.0,20.0
北市：懷愛館回饋金重修訂 蒐集各方意見再研議,20.0,0.0,10.0,30.0
工程師被召回？強震後「竹北交流道紫爆」真相逆轉,60.0,40.0,0.0,20.0
台南楠西震災受損屋鑑定案暴增 中市結構技師續馳援,60.0,0.0,0.0,20.0
合體陳傑憲！小球員問為何喜歡看棒球 賴清德笑：因為我上不了球場打球,20.0,0.0,0.0,10.0
美中競逐影響力  拉丁美洲被迫選邊站,60.0,40.0,0.0,20.0
「歐洲最大」…金融時報：2大臣介入 中駐英新使館或有條件准建,20.0,0.0,10.0,40.0
柯文哲再遭羈押 民眾黨「痛心至極」：支持辯護律師抗告,90.0,80.0,0.0,20.0
獨家／三重房價破百萬！卻沒百貨？「天臺廣場」繁華落盡 變成時代眼淚,90.0,80.0,0.0,20.0
洛杉磯野火旅美台灣人受災 44年房子燒到只剩壁爐,90.0,60.0,0.0,20.0
公有地蓋社宅 三重、土城各增逾300戶,20.0,0.0,0.0,10.0
國父紀念館前揮毫迎蛇年 書法春聯贈民眾,0.0,20.0,0.0,10.0
躲避1800元罰單？男連闖14個紅燈命喪路口,90.0,80.0,10.0,20.0
台科大教師開發「工地達人」遊戲 助學生輕鬆了解建築工程實務,0.0,0.0,0.0,10.0
「北市知名餐廳」又傳年夜飯食物中毒？ 蔣萬安：派衛生局稽查,60.0,0.0,20.0,10.0
更生人住家殘破 天行者協會助修繕…終可在新家安心過年,60.0,20.0,0.0,10.0
傳朱立倫召集幹部討論反罷免對策 周軒：國民黨緊張了,40.0,30.0,0.0,10.0
日本山林火災延燒5天 燒毀面積約63座東京巨蛋,90.0,60.0,0.0,80.0
菲籍女遊客平溪十分侵入鐵道遭擦撞 遭函送裁處,90.0,0.0,0.0,10.0
應對川普2.0風險 中國減持美債增持黃金,40.0,20.0,10.0,30.0
MLB(影)／藍鳥不僅搶佐佐木朗希失利 還弄來一個燙手山芋,60.0,40.0,0.0,20.0
無人機熱潮   世紀 雷虎 列注意股,0.0,20.0,0.0,40.0
ZARA爆「退出中國倒計時」！10天狂關4門市 母公司回應了,60.0,80.0,0.0,20.0
天氣／一周都冷！冷氣團一波波 高山可望下雪,40.0,20.0,0.0,30.0
2025年生肖運勢曝！屬豬犯太歲需謹慎 「他們」有望喜結良緣,40.0,0.0,20.0,30.0
陳彥翔哥哥再婚！亡妻聖筊「震怒顯靈」 本人急道歉了,90.0,80.0,0.0,20.0
「電鑽+刷頭」玩刮刮樂！大樂透初一上看1.3億 威力彩7.1億初二開,0.0,20.0,40.0,60.0
來看日本版「中國統戰實錄」！台灣人移居廈門已逾12萬人 受訪台青年：賺飽創業好,40.0,20.0,0.0,30.0
環狀線災損逾19億元  新北藍綠議員力挺求償究責,90.0,60.0,0.0,20.0
屏東男保母引議 縣府澄清非社會處媒合,20.0,0.0,0.0,10.0
南韓總統尹錫悅涉叛亂及濫用職權 裁定收押,90.0,60.0,0.0,20.0
